Check,ID,Name,Type,Rarity
[ ],1,Monkey D. Luffy,STR,2
[ ],2,Monkey D. Luffy - Gum-Gum Pistol,STR,3
[ ],3,Monkey D. Luffy - Gum-Gum Bazooka,STR,4
[ ],4,Monkey D. Luffy - Gear 2,STR,5
[ ],5,Roronoa Zoro,DEX,3
[ ],6,Roronoa Zoro - Three Thousand Worlds,DEX,4
[ ],7,Roronoa Zoro - Pound Phoenix,DEX,4
[ ],8,Roronoa Zoro - Ashura Ichibugin,DEX,5
[ ],9,Nami,INT,3
[ ],10,Nami - Tornado Tempo,INT,4
[ ],11,Nami - Mirage Tempo,INT,4
[ ],12,Nami - Thunderbolt Tempo,INT,5
[ ],13,Usopp,PSY,3
[ ],14,Usopp - Tabasco Star,PSY,4
[ ],15,Usopp - Usopp Golden Pound,PSY,4
[ ],16,Sogeking,PSY,5
[ ],17,Sanji,QCK,3
[ ],18,Sanji - Plastic Surgery Shot,QCK,4
[ ],19,Chef Sanji - Hot Rock Stew,QCK,4
[ ],20,Sanji - Diable Jambe,QCK,5
[ ],21,Tony Tony Chopper,PSY,3
[ ],22,Tony Tony Chopper - Heavy Point,PSY,4
[ ],23,Tony Tony Chopper - Brain Point,INT,4
[ ],24,Tony Tony Chopper - Arm Point,STR,4
[ ],25,Tony Tony Chopper - Horn Point,QCK,4
[ ],26,Tony Tony Chopper - Guard Point,DEX,4
[ ],27,Higuma,QCK,2
[ ],28,Master of the Near Sea,STR,2
[ ],29,Iron-Mace Alvida,STR,3
[ ],30,Iron-Mace Alvida - Smooth-Smooth Fruit,STR,4
[ ],31,Coby,PSY,2
[ ],32,Cabin Boy Coby,PSY,3
[ ],33,Helmeppo,INT,2
[ ],34,Cabin Boy Helmeppo,INT,3
[ ],35,Axe-Hand Morgan,STR,2
[ ],36,Mohji & Richie,PSY,2
[ ],37,Cabaji the Acrobat,DEX,2
[ ],38,Buggy,INT,3
[ ],39,Buggy the Clown,INT,4
[ ],40,Gaimon,PSY,2
[ ],41,Siam,INT,2
[ ],42,Butchie,STR,2
[ ],43,One-Two Django,DEX,2
