Check,ID,Name,Type,Rarity,Drop Category,Character Category
[ ],74,Portgas D. Ace,QCK,4,Normal,Rare Recruit
[ ],75,Portgas D. Ace - Flame Mirror,QCK,5,Normal,Rare Recruit
[ ],76,Shanks,PSY,4,Normal,Rare Recruit
[ ],77,Red-Haired Shanks,PSY,5,Normal,Rare Recruit
[ ],209,Miss All Sunday - Baroque Works VP,INT,4,Normal,Rare Recruit
[ ],210,Nico Robin,INT,5,Normal,Rare Recruit
[ ],216,Monkey D. Luffy - Gum-Gum Balloon,STR,4,Normal,Rare Recruit
[ ],217,Monkey D. Luffy - Gear Third,STR,5,Normal,Rare Recruit
[ ],218,Roronoa Zoro - Streaming Wolf Swords,DEX,4,Normal,Rare Recruit
[ ],219,Roronoa Zoro - Lion's Song,DEX,5,Normal,Rare Recruit
[ ],220,Nami - Fine Tempo,INT,4,Normal,Rare Recruit
[ ],221,Nami - Happiness Punch,INT,5,Normal,Rare Recruit
[ ],224,Mr. Prince - Mutton Shot,QCK,3,Normal,Rare Recruit
[ ],225,Mr. Prince - Veau Shot,QCK,4,Normal,Rare Recruit
[ ],247,Chopper Man,PSY,4,Rayleigh Shop,Rare Recruit
[ ],250,Marco,PSY,4,Normal,Rare Recruit
[ ],251,Marco the Phoenix,PSY,5,Normal,Rare Recruit
[ ],252,Jozu,QCK,4,Normal,Rare Recruit
[ ],253,Diamond Jozu,QCK,5,Normal,Rare Recruit
[ ],254,Vista,INT,4,Normal,Rare Recruit
[ ],255,Flower Sword Vista,INT,5,Normal,Rare Recruit
[ ],256,Izo,DEX,4,Normal,Rare Recruit
[ ],257,Flintlock Pistols Izo,DEX,5,Normal,Rare Recruit
[ ],258,Blamenco,STR,4,Normal,Rare Recruit
[ ],259,Blamenco the Mallet,STR,5,Normal,Rare Recruit
[ ],260,Edward Newgate,STR,5,Normal,Legend
[ ],261,Whitebeard,STR,6,Normal,Legend
[ ],307,Trafalgar Law,DEX,4,Normal,Rare Recruit
[ ],308,Trafalgar Law - ROOM,DEX,5,Normal,Rare Recruit
[ ],309,Basil Hawkins,INT,4,Normal,Rare Recruit
[ ],310,Basil Hawkins the Magician,INT,5,Normal,Rare Recruit
[ ],311,Killer,QCK,4,Normal,Rare Recruit
[ ],312,Massacre Soldier Killer,QCK,5,Normal,Rare Recruit
[ ],313,Urouge,PSY,4,Normal,Rare Recruit
[ ],314,Mad Monk Urouge,PSY,5,Normal,Rare Recruit
[ ],315,Bepo,STR,4,Normal,Rare Recruit
[ ],316,Bepo the Martial Artist,STR,5,Normal,Rare Recruit
[ ],356,Eustass Kid,STR,4,Normal,Rare Recruit
[ ],357,Captain Kid,STR,5,Normal,Rare Recruit
[ ],358,Scratchmen Apoo,DEX,4,Normal,Rare Recruit
[ ],359,Roar of the Sea Scratchmen Apoo,DEX,5,Normal,Rare Recruit
[ ],360,X Drake,INT,4,Normal,Rare Recruit
[ ],361,Red Flag X Drake,INT,5,Normal,Rare Recruit
[ ],362,Jewelry Bonney,PSY,4,Normal,Rare Recruit
[ ],363,Big Eater Jewelry Bonney,PSY,5,Normal,Rare Recruit
[ ],364,Capone Bege,QCK,4,Normal,Rare Recruit
[ ],365,Capone Gang Bege,QCK,5,Normal,Rare Recruit
[ ],366,Silvers Rayleigh,INT,5,Normal,Legend
[ ],367,Dark King Rayleigh,INT,6,Normal,Legend
[ ],403,Rebecca,QCK,4,Rayleigh Shop,Rare Recruit
[ ],409,Jinbe,QCK,4,Normal,Rare Recruit
[ ],410,Jinbe - Warlord of the Sea,QCK,5,Normal,Rare Recruit
[ ],411,Bartholomew Kuma,STR,4,Normal,Rare Recruit
[ ],412,Bartholomew Kuma - Warlord of the Sea,STR,5,Normal,Rare Recruit
[ ],413,Gecko Moria,INT,4,Normal,Rare Recruit
[ ],414,Gecko Moria - Warlord of the Sea,INT,5,Normal,Rare Recruit
[ ],415,Boa Hancock,QCK,5,Normal,Legend
[ ],416,Boa Hancock - Warlord of the Sea,QCK,6,Normal,Legend
[ ],437,Perona ~Sweets~,DEX,4,Limited RR,Rare Recruit
[ ],438,Perona ~Sweets~ - Ghost Princess,DEX,5,Limited RR,Rare Recruit
[ ],439,Nefeltari Vivi ~Love~,PSY,4,Limited RR,Rare Recruit
[ ],440,Princess Vivi ~Love~,PSY,5,Limited RR,Rare Recruit
[ ],448,Thatch,QCK,4,Normal,Rare Recruit
[ ],449,Twin-Blade Thatch,QCK,5,Normal,Rare Recruit
[ ],450,Namule,DEX,4,Normal,Rare Recruit
[ ],451,One-Hit Namule,DEX,5,Normal,Rare Recruit
[ ],452,Rakuyo,PSY,4,Normal,Rare Recruit
[ ],453,Morning Star Rakuyo,PSY,5,Normal,Rare Recruit
[ ],454,Fossa,STR,4,Normal,Rare Recruit
[ ],455,Fossa the Blazing Katana,STR,5,Normal,Rare Recruit
[ ],456,Curiel,INT,4,Normal,Rare Recruit
[ ],457,Heavy Artillery Curiel,INT,5,Normal,Rare Recruit
[ ],458,Sengoku,PSY,5,Normal,Legend
[ ],459,Sengoku the Buddha,PSY,6,Normal,Legend
[ ],497,Portgas D. Ace - Mt. Corvo's Brothers 3,QCK,4,Limited RR,Rare Recruit
[ ],498,"Portgas D. Ace - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",QCK,5,Limited RR,Rare Recruit
[ ],499,Bellmere,DEX,3,Normal,Rare Recruit
[ ],500,Bellmere - Nami and Nojiko's  Mother,DEX,4,Normal,Rare Recruit
[ ],501,Kaya,PSY,3,Normal,Rare Recruit
[ ],502,Kaya - A rich young girl from Syrup Village,PSY,4,Normal,Rare Recruit
[ ],503,Hotori and Kotori,INT,3,Normal,Rare Recruit
[ ],504,Hotori and Kotori - Skypiea Vice Head Enforcers,INT,4,Normal,Rare Recruit
[ ],505,Pell,QCK,3,Normal,Rare Recruit
[ ],506,Pell - The guardian falcon of Alabasta.,QCK,4,Normal,Rare Recruit
[ ],507,Chaka,STR,3,Normal,Rare Recruit
[ ],508,Chaka - The guardian jackal of Alabasta.,STR,4,Normal,Rare Recruit
[ ],512,Sabo - Mt. Corvo's Brothers 3,PSY,4,Limited RR,Rare Recruit
[ ],513,"Sabo - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",PSY,5,Limited RR,Rare Recruit
[ ],514,Nico Robin - Tropical,INT,4,Rayleigh Shop,Rare Recruit
[ ],529,Shanks - Black Clad Redhead,PSY,5,Normal,Legend
[ ],530,Shanks - Black Clad Emperor,PSY,6,Normal,Legend
[ ],531,Nico Robin - Cherry Blossoms Falling,DEX,4,Limited RR,Rare Recruit
[ ],532,Nico Robin - Cherry Blossoms in Full Bloom,DEX,5,Limited RR,Rare Recruit
