ID,Name,Type,Rarity,Drop Category,Character Category,LB,LB+,Ability,PvP+,Ink
75,Portgas D. Ace - Flame Mirror,QCK,5,Normal,Rare Recruit,,,,,
77,Red-Haired Shanks,PSY,5,Normal,Rare Recruit,,,,,
210,Nico Robin,INT,5,Normal,Rare Recruit,,,,,
217,Monkey D. Luffy - Gear Third,STR,5,Normal,Rare Recruit,,,,,
219,Roronoa Zoro - Lion's Song,DEX,5,Normal,Rare Recruit,,,,,
221,Nami - Happiness Punch,INT,5,Normal,Rare Recruit,,,,,
225,Mr. Prince - Veau Shot,QCK,4,Normal,Rare Recruit,,,,,
247,Chopper Man,PSY,4,Rayleigh Shop,Rare Recruit,,,,,
251,Marco the Phoenix,PSY,5,Normal,Rare Recruit,,,,,
253,Diamond Jozu,QCK,5,Normal,Rare Recruit,,,,,
255,Flower Sword Vista,INT,5,Normal,Rare Recruit,,,,,
257,Flintlock Pistols Izo,DEX,5,Normal,Rare Recruit,,,,,
259,Blamenco the Mallet,STR,5,Normal,Rare Recruit,,,,,
261,Whitebeard,STR,6,Normal,Legend,,,,,
308,Trafalgar Law - ROOM,DEX,5,Normal,Rare Recruit,,,,,
310,Basil Hawkins the Magician,INT,5,Normal,Rare Recruit,,,,,
312,Massacre Soldier Killer,QCK,5,Normal,Rare Recruit,,,,,
314,Mad Monk Urouge,PSY,5,Normal,Rare Recruit,,,,,
316,Bepo the Martial Artist,STR,5,Normal,Rare Recruit,,,,,
357,Captain Kid,STR,5,Normal,Rare Recruit,,,,,
359,Roar of the Sea Scratchmen Apoo,DEX,5,Normal,Rare Recruit,,,,,
361,Red Flag X Drake,INT,5,Normal,Rare Recruit,,,,,
363,Big Eater Jewelry Bonney,PSY,5,Normal,Rare Recruit,,,,,
365,Capone Gang Bege,QCK,5,Normal,Rare Recruit,,,,,
367,Dark King Rayleigh,INT,6,Normal,Legend,,,,,
403,Rebecca,QCK,4,Rayleigh Shop,Rare Recruit,,,,,
410,Jinbe - Warlord of the Sea,QCK,5,Normal,Rare Recruit,,,,,
412,Bartholomew Kuma - Warlord of the Sea,STR,5,Normal,Rare Recruit,,,,,
414,Gecko Moria - Warlord of the Sea,INT,5,Normal,Rare Recruit,,,,,
416,Boa Hancock - Warlord of the Sea,QCK,6,Normal,Legend,,,,,
438,Perona ~Sweets~ - Ghost Princess,DEX,5,Limited RR,Rare Recruit,,,,,
440,Princess Vivi ~Love~,PSY,5,Limited RR,Rare Recruit,,,,,
449,Twin-Blade Thatch,QCK,5,Normal,Rare Recruit,,,,,
451,One-Hit Namule,DEX,5,Normal,Rare Recruit,,,,,
453,Morning Star Rakuyo,PSY,5,Normal,Rare Recruit,,,,,
455,Fossa the Blazing Katana,STR,5,Normal,Rare Recruit,,,,,
457,Heavy Artillery Curiel,INT,5,Normal,Rare Recruit,,,,,
459,Sengoku the Buddha,PSY,6,Normal,Legend,,,,,
498,"Portgas D. Ace - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",QCK,5,Limited RR,Rare Recruit,,,,,
500,Bellmere - Nami and Nojiko's  Mother,DEX,4,Normal,Rare Recruit,,,,,
502,Kaya - A rich young girl from Syrup Village,PSY,4,Normal,Rare Recruit,,,,,
504,Hotori and Kotori - Skypiea Vice Head Enforcers,INT,4,Normal,Rare Recruit,,,,,
506,Pell - The guardian falcon of Alabasta.,QCK,4,Normal,Rare Recruit,,,,,
508,Chaka - The guardian jackal of Alabasta.,STR,4,Normal,Rare Recruit,,,,,
513,"Sabo - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",PSY,5,Limited RR,Rare Recruit,,,,,
514,Nico Robin - Tropical,INT,4,Rayleigh Shop,Rare Recruit,,,,,
530,Shanks - Black Clad Emperor,PSY,6,Normal,Legend,,,,,
532,Nico Robin - Cherry Blossoms in Full Bloom,DEX,5,Limited RR,Rare Recruit,,,,,
534,Brook - Cherry Blossom Melody,QCK,5,Limited RR,Rare Recruit,,,,,
536,Nami - Blossom Climate,DEX,5,Limited RR,Rare Recruit,,,,,
548,"Monkey D. Luffy - Mt. Corvo's Brothers 3, Cup of Sworn Brotherhood",STR,5,Limited RR,Rare Recruit,,,,,
562,Portgas D. Ace - Black Clad Division Commander,DEX,6,Normal,Legend,,,,,
576,Nami - Tea Time,INT,4,Rayleigh Shop,Rare Recruit,,,,,
580,Roronoa Zoro - Voyage Dream: Master Swordsman,QCK,5,Limited RR,Rare Recruit,,,,,
586,Nojiko - Nami's Sister,PSY,4,Normal,Rare Recruit,,,,,
588,Crocus - Twin Cape Lighthouse Keeper,INT,4,Normal,Rare Recruit,,,,,
590,Koza - Rebel Leader,QCK,4,Normal,Rare Recruit,,,,,
597,Tony Tony Chopper - Voyage Dream: Great Doctor,STR,5,Limited RR,Rare Recruit,,,,,
605,Sanji  - Voyage Dream: All Blue,DEX,5,Limited RR,Rare Recruit,,,,,
613,Brook - Voyage Dream: Promised Meeting,DEX,5,Limited RR,Rare Recruit,,,,,
639,Bohemian Knight Doma,QCK,5,Normal,Rare Recruit,,,,,
641,DeCalvan Brothers - Brothers' Bond,DEX,5,Normal,Rare Recruit,,,,,
643,Maelstrom Spider Squard,PSY,5,Normal,Rare Recruit,,,,,
645,Ice Witch Whitey Bay,INT,5,Normal,Rare Recruit,,,,,
647,Little Oars Jr. - Charging!,STR,5,Normal,Rare Recruit,,,,,
649,Marco the Phoenix - Whitebeard 1st Div. Commander,QCK,6,Normal,Legend,,,,,
651,Nami - Voyage Dream: World Map,INT,5,Limited RR,Rare Recruit,,,,,
661,Usopp - Voyage Dream: Brave Sea Warrior,QCK,5,Limited RR,Rare Recruit,,,,,
662,Nami - On Vacation,PSY,4,Rayleigh Shop,Rare Recruit,,,,,
669,Sabo - Revolutionary Army,PSY,6,Normal,Legend,,,,,
671,Koala - Revolutionary Army,DEX,5,Normal,Rare Recruit,,,,,
673,Hack - Revolutionary Army,STR,5,Normal,Rare Recruit,,,,,
675,Emporio Ivankov - Revolutionary Army,INT,5,Normal,Rare Recruit,,,,,
677,Inazuma - Revolutionary Army,QCK,5,Normal,Rare Recruit,,,,,
679,Nico Robin - Voyage Dream: 100-Year Void,PSY,5,Limited RR,Rare Recruit,,,,,
683,Ice Cream-Loving Robin - Chocolate Ice Cream,PSY,5,Rayleigh Shop,Rare Recruit,,,,,
686,Vivi on Break,QCK,4,Rayleigh Shop,Rare Recruit,,,,,
711,Franky - Voyage Dream: Ship of the Seven Seas,PSY,5,Limited RR,Rare Recruit,,,,,
718,Hawk Eyes Mihawk - World's Strongest Swordsman,INT,6,Normal,Legend,,,,,
720,Sir Crocodile: Logia - Ex-Warlord of the Sea,DEX,6,Normal,Legend,,,,,
726,Nefeltari Vivi - Voyage Dream: Queen of the Pirates,QCK,5,Limited RR,Rare Recruit,,,,,
727,Monkey D. Luffy - Gum-Gum Gatling,DEX,4,Rayleigh Shop,Rare Recruit,,,,,
746,Megalo & Shirahoshi,QCK,4,Rayleigh Shop,Rare Recruit,,,,,
